9983,100.19,10.67,53,DC Trosa,8/26/2020,AB Singapore Pte Ltd,Singapore,408934,SG,air,DHL,DAP
9983,545,14.57,345,DC Trosa,8/24/2020,AB Singapore Pte Ltd,Singapore,408934,SG,air,Scan Global Logistics,CIP
9983,25.94,2.34,1.14,DC Trosa,8/21/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,148.27,12.5,35,DC Trosa,8/17/2020,AB Singapore Pte Ltd,Singapore,627870,SG,air,DHL,DAP
9983,30.47,1.08,5,DC Trosa,8/13/2020,AB Singapore Pte Ltd,Singapore,627608,SG,air,DHL,DAP
9983,19.04,0.2,1.14,DC Trosa,8/12/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.33,1.14,DC Trosa,8/11/2020,AB Singapore Pte Ltd,Singapore,580988,SG,air,DHL,DAP
9983,88.95,17.52,43,DC Trosa,8/11/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.19,1.14,DC Trosa,8/7/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.42,1.14,DC Trosa,8/5/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,79.96,13.8,21,DC Trosa,8/5/2020,AB Singapore Pte Ltd,Singapore,627870,SG,air,DHL,DAP
9983,28.1,1.81,34,DC Trosa,8/4/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,41.69,5.7,21,DC Trosa,8/3/2020,AB Singapore Pte Ltd,Singapore,627870,SG,air,DHL,DAP
9983,19.04,0.46,34,DC Trosa,7/30/2020,AB Singapore Pte Ltd,Singapore,629881,SG,air,DHL,DAP
9983,19.04,0.15,1,DC Trosa,7/28/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
18310.724,206,84,43,DC Trosa,7/24/2020,AB Singapore Pte Ltd,Singapore,629043,SG,sea,Scan Global Logistics,CFR
9983,46.22,3.59,32,DC Trosa,7/22/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,23.57,1.1,45,DC Trosa,7/22/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,23.57,0.38,43,DC Trosa,7/21/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,48.6,7.11,33,DC Trosa,7/17/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.63,22,DC Trosa,7/15/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,539.67,120,34,DC Trosa,7/10/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,19.04,0.38,45,DC Trosa,7/9/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,28.1,3,6,DC Trosa,7/6/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,63.46,4.44,66,DC Trosa,7/2/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,25.94,0.85,7,DC Trosa,7/2/2020,AB Singapore Pte Ltd,Singapore,68902,SG,air,DHL,DAP
9983,46.22,4.09,6,DC Trosa,7/2/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,25.94,1.55,5,DC Trosa,7/2/2020,AB Singapore Pte Ltd,Singapore,408934,SG,air,DHL,DAP
9983,19.04,0.16,4,DC Trosa,6/29/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,32.63,3.83,3,DC Trosa,6/29/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
9983,63.46,3.34,7,DC Trosa,6/26/2020,AB Singapore Pte Ltd,Singapore,629043,SG,air,DHL,DAP
